"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NM_001305290.1"	145.563665890692	0.45767795072559	0.116257721199674	3.9367531549971	8.25914859231349e-05	0.0095688481510296
"NM_001305310.1"	59.6545452772335	-1.56964264279211	0.264546220376368	-5.93333989258662	2.96833454285973e-09	1.75702571594659e-06
"NM_001305333.1"	594.190557882597	1.67505680133883	0.156362895194052	10.712623344944	8.8808939108717e-27	5.46707829153262e-23
"NM_001305339.1"	20.2568550710055	-1.09515737519477	0.268653351865523	-4.07647017090993	4.57245180763741e-05	0.0062338884506866
"NM_001305362.1"	318.662454996357	1.19200054464052	0.21136362364743	5.63957280855887	1.70472559540575e-08	8.19866466040455e-06
"NM_001305373.1"	213.134795127986	1.06030623106812	0.306820341352736	3.45578857774992	0.000548685507423195	0.0337770798369719
"NM_001308861.1"	14.2736008461098	-0.824185543149049	0.244108480144141	-3.37630852751361	0.000734654866352603	0.0414911500666663
"NM_001308879.1"	70.2992503877755	-0.798278473335248	0.214877196963972	-3.71504507976755	0.000203167471194235	0.0174192054689654
"NM_001308913.1"	1510.31091834316	8.04084741301576	0.794883332034312	10.1157579848066	4.70361898253727e-24	2.06824846117853e-20
"NM_001308924.1"	247.18353003673	5.51631688199431	0.690642899135787	7.98722015226243	1.38015494540569e-15	2.23585101155721e-12
"XM_011413623.3"	27.1582382142195	-0.668505400030115	0.187649017139767	-3.56253078337303	0.000367296823226231	0.0255772925467114
"XM_011413703.3"	320.679254558709	-1.09215648788262	0.206466218116569	-5.28975876947578	1.22477788122786e-07	4.39791176881155e-05
"XM_011413735.3"	6.28860256658557	4.00817252790209	1.19724715682639	3.34782380150041	0.000814487773465077	0.0442931690234189
"XM_011413737.3"	34.1515891224223	-1.36276820284112	0.264916104645301	-5.14415008731065	2.68734630556146e-07	9.19072436502021e-05
"XM_011413814.3"	65.1581448109054	-0.383990090204946	0.114909052047937	-3.34168704172022	0.000832708911970613	0.0448875311916908
"XM_011413957.2"	175.545969611951	0.474865070085132	0.131925241680691	3.5995012329368	0.000318828121674281	0.0235902153488807
"XM_011413989.3"	11.4106775784772	-2.7195055826212	0.629338467078923	-4.32121302745689	1.5517377071325e-05	0.00287725823045412
"XM_011414589.3"	15.9181591220482	0.895151970901345	0.246866384342878	3.62605857935704	0.000287780098093314	0.0220812255482026
"XM_011414951.3"	29.2120579961204	-0.665923146688507	0.180958452365659	-3.67997812748139	0.000233253959689443	0.0192481417674023
"XM_011415190.3"	15.7967749620437	-0.933912310402741	0.277867453515572	-3.36099927712622	0.000776610287974284	0.0431481311621814
