Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D54_S145_L001_R1_001	16.002258653040926	38.0	101.0	18.181818181818183	2291649.0
D55_S146_L001_R1_001	11.469043258083715	36.0	101.0	18.181818181818183	3091542.0
D56_S136_L001_R1_001	15.290661625996322	37.0	101.0	18.181818181818183	3106123.0
D57_S143_L001_R1_001	18.478161124532036	38.0	101.0	18.181818181818183	2771722.0
D59_S142_L001_R1_001	14.818968732593163	38.0	101.0	18.181818181818183	2779358.0
M45_S140_L001_R1_001	15.477888013671148	37.0	101.0	18.181818181818183	2858599.0
M46_S141_L001_R1_001	16.77440093776164	38.0	101.0	18.181818181818183	2780879.0
M48_S137_L001_R1_001	15.988380195493079	37.0	101.0	18.181818181818183	2546006.0
M49_S139_L001_R1_001	17.31476134723269	38.0	101.0	18.181818181818183	3419960.0
M89_S138_L001_R1_001	12.088832690840832	36.0	101.0	18.181818181818183	3456947.0
M90_S147_L001_R1_001	16.154786625775984	38.0	101.0	18.181818181818183	2380635.0
N48_S194_L001_R1_001	13.442432294361453	37.0	101.0	18.181818181818183	2212373.0
N49_S185_L001_R1_001	13.274214692817537	37.0	101.0	18.181818181818183	2464125.0
N50_S187_L001_R1_001	17.968272653080888	38.0	101.0	27.27272727272727	3058705.0
N51_S186_L001_R1_001	17.341276251084764	39.0	101.0	18.181818181818183	2625585.0
N52_S184_L001_R1_001	12.08506484009736	36.0	101.0	18.181818181818183	3738366.0
N53_S188_L001_R1_001	17.926700751955295	38.0	101.0	18.181818181818183	2886941.0
N54_S193_L001_R1_001	21.052436977837004	38.0	101.0	27.27272727272727	3262859.0
N55_S190_L001_R1_001	15.670491793405233	37.0	101.0	18.181818181818183	2095872.0
N56_S192_L001_R1_001	36.1941201754613	37.0	101.0	18.181818181818183	451236.0
N57_S191_L001_R1_001	9.979027303080727	35.0	101.0	18.181818181818183	2984542.0
N58_S195_L001_R1_001	19.047566559318724	39.0	101.0	18.181818181818183	2804987.0
N59_S189_L001_R1_001	19.29119296161568	36.0	101.0	18.181818181818183	2922817.0
