Module	Section	Sample Name	Source
FastQC	all_sections	N56_S192_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N56_S192_L001_R1_001_fastqc.zip
FastQC	all_sections	N59_S189_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N59_S189_L001_R1_001_fastqc.zip
FastQC	all_sections	D56_S136_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/D56_S136_L001_R1_001_fastqc.zip
FastQC	all_sections	M90_S147_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M90_S147_L001_R1_001_fastqc.zip
FastQC	all_sections	N58_S195_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N58_S195_L001_R1_001_fastqc.zip
FastQC	all_sections	N57_S191_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N57_S191_L001_R1_001_fastqc.zip
FastQC	all_sections	N54_S193_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N54_S193_L001_R1_001_fastqc.zip
FastQC	all_sections	M46_S141_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M46_S141_L001_R1_001_fastqc.zip
FastQC	all_sections	M45_S140_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M45_S140_L001_R1_001_fastqc.zip
FastQC	all_sections	N52_S184_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N52_S184_L001_R1_001_fastqc.zip
FastQC	all_sections	N53_S188_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N53_S188_L001_R1_001_fastqc.zip
FastQC	all_sections	N50_S187_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N50_S187_L001_R1_001_fastqc.zip
FastQC	all_sections	N55_S190_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N55_S190_L001_R1_001_fastqc.zip
FastQC	all_sections	D55_S146_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/D55_S146_L001_R1_001_fastqc.zip
FastQC	all_sections	M48_S137_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M48_S137_L001_R1_001_fastqc.zip
FastQC	all_sections	N51_S186_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N51_S186_L001_R1_001_fastqc.zip
FastQC	all_sections	D59_S142_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/D59_S142_L001_R1_001_fastqc.zip
FastQC	all_sections	N49_S185_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N49_S185_L001_R1_001_fastqc.zip
FastQC	all_sections	M49_S139_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M49_S139_L001_R1_001_fastqc.zip
FastQC	all_sections	M89_S138_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/M89_S138_L001_R1_001_fastqc.zip
FastQC	all_sections	N48_S194_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/N48_S194_L001_R1_001_fastqc.zip
FastQC	all_sections	D57_S143_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/D57_S143_L001_R1_001_fastqc.zip
FastQC	all_sections	D54_S145_L001_R1_001	/home/shared/8TB_HDD_01/sr320/github/steven-coursework/assignments/output/D54_S145_L001_R1_001_fastqc.zip
