target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	1	0.493549
NM_001305290.1	963	864	129	153.201
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	2	0.926073
NM_001305293.1	2561	2462	181	75.4354
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	323	93.5705
NM_001305296.1	1113	1014	363	367.328
NM_001305297.1	2361	2262	11	4.98982
NM_001305298.1	681	582	5.43812	9.58762
NM_001305299.1	1313	1214	14.52	12.2725
NM_001305300.1	2361	2262	12	5.44344
NM_001305301.1	5652	5553	226.549	41.8619
NM_001305302.1	1626	1527	4	2.68786
NM_001305303.1	1254	1155	11	9.77227
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	51.2323	15.7533
NM_001305306.1	1631	1532	0	0
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	20	12.9393
NM_001305310.1	833	734	108	150.978
NM_001305311.1	1912	1813	1.52862	0.865138
NM_001305312.1	3517	3418	16	4.80322
NM_001305313.2	1779	1680	582.028	355.484
NM_001305314.1	524	425	1003	2421.57
NM_001305315.1	1100	1001	27	27.6767
NM_001305316.1	3845	3746	6	1.6435
NM_001305317.1	1655	1556	20	13.1888
NM_001305318.1	772	673	3040	4634.93
NM_001305319.1	2422	2323	90	39.7538
NM_001305320.1	1257	1158	12	10.633
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	5.49034	3.03533
NM_001305323.1	1697	1598	8	5.13687
NM_001305324.1	4857	4758	3.10051	0.668642
NM_001305325.1	1260	1161	5	4.41899
NM_001305326.1	2144	2045	3	1.50526
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	67	52.0424
NM_001305329.1	3088	2989	2.93622	1.00797
NM_001305330.1	1983	1884	9	4.9017
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	145	58.392
NM_001305333.1	1727	1628	1342	845.83
NM_001305334.1	1170	1071	1	0.958066
NM_001305335.1	1420	1321	87	67.5774
NM_001305336.1	1301	1202	7	5.97556
NM_001305337.1	3182	3083	133	44.2653
NM_001305338.1	561	462	1566	3478.04
NM_001305339.1	1063	964	77.7685	82.7774
NM_001305340.1	1914	1815	174	98.3688
NM_001305341.1	3018	2919	19.5802	6.88284
NM_001305342.1	1568	1469	13	9.08043
NM_001305343.1	381	282	1110	4038.86
NM_001305344.1	1713	1614	4	2.54297
NM_001305345.1	478	379	6.62964	17.9488
NM_001305346.1	794	695	177.314	261.785
NM_001305347.1	529	430	1	2.38625
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	6.6975	3.58489
NM_001305350.1	1904	1805	2.36359	1.34363
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	1678.99	2222.96
NM_001305353.1	1804	1705	2	1.20362
NM_001305354.1	2065	1966	5	2.60958
NM_001305355.1	2154	2055	1250.95	624.617
NM_001305356.1	5728	5629	136.921	24.9588
NM_001305358.1	1594	1495	19	13.0406
NM_001305359.1	1918	1819	4.89533	2.76143
NM_001305360.1	1214	1115	1.56875	1.44365
NM_001305361.1	987	888	5	5.77753
NM_001305362.1	2744	2645	463	179.614
NM_001305363.1	1608	1509	18	12.2396
NM_001305364.1	1404	1305	1	0.786275
NM_001305365.1	1546	1447	71	50.3471
NM_001305367.1	523	424	338.809	819.926
NM_001305368.2	1716	1617	14.0178	8.89515
NM_001305369.2	583	484	1419	3008.31
NM_001305370.1	1788	1689	14.021	8.51794
NM_001305371.1	1531	1432	3.17237	2.27314
NM_001305372.1	792	693	297	439.752
NM_001305373.1	1593	1494	4627.73	3178.36
NM_001305375.1	527	428	3	7.19221
NM_001305376.1	674	575	236.619	422.248
NM_001305377.1	3063	2964	52.3493	18.1225
NM_001305378.1	3255	3156	10.0667	3.27292
NM_001305379.1	5926	5827	37.5629	6.61453
NM_001305380.1	2571	2472	24.8904	10.3316
NM_001305381.2	1961	1862	68.5555	37.7787
NM_001308835.1	2208	2109	18	8.75751
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	159	123.597
NM_001308844.1	1404	1305	4	3.1451
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	8	5.79711
NM_001308857.1	1022	923	13	14.452
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	21	34.6429
NM_001308865.1	1958	1859	0	0
NM_001308866.2	1811	1712	1	0.599351
NM_001308870.1	1830	1731	8	4.74218
NM_001308872.1	2265	2166	145	68.6902
NM_001308876.1	1452	1353	118	89.4889
NM_001308878.1	2290	2191	7.16687	3.35639
NM_001308879.1	2688	2589	63	24.9686
NM_001308882.2	1264	1165	96	84.5532
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	210	68.7332
NM_001308888.2	637	538	47.7312	91.0342
NM_001308889.1	1663	1564	1156	758.413
NM_001308892.1	549	450	7	15.9614
NM_001308896.1	1002	903	1	1.13631
NM_001308898.1	1357	1258	0	0
