target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0	0
NM_001305290.1	963	864	191	199.567
NM_001305291.1	722	623	3	4.34712
NM_001305292.1	2315	2216	3	1.22214
NM_001305293.1	2561	2462	239	87.6351
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	238	60.6592
NM_001305296.1	1113	1014	538	478.975
NM_001305297.1	2361	2262	3	1.19728
NM_001305298.1	681	582	10.3096	15.9914
NM_001305299.1	1313	1214	6.37626	4.7415
NM_001305300.1	2361	2262	3	1.19728
NM_001305301.1	5652	5553	188.717	30.6797
NM_001305302.1	1626	1527	4	2.36477
NM_001305303.1	1254	1155	7	5.47122
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	49.2719	13.3294
NM_001305306.1	1631	1532	4	2.35705
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	1	0.543499
NM_001305309.1	1685	1586	4	2.2768
NM_001305310.1	833	734	43	52.886
NM_001305311.1	1912	1813	4	1.99173
NM_001305312.1	3517	3418	89.256	23.574
NM_001305313.2	1779	1680	1417.35	761.616
NM_001305314.1	524	425	1392	2956.78
NM_001305315.1	1100	1001	12.2378	11.0367
NM_001305316.1	3845	3746	4	0.963964
NM_001305317.1	1655	1556	23	13.344
NM_001305318.1	772	673	2794	3747.83
NM_001305319.1	2422	2323	32	12.4357
NM_001305320.1	1257	1158	8	6.23663
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	13.6098	6.61974
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	147.969	115.056
NM_001305326.1	2144	2045	4	1.76577
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	78	53.3041
NM_001305329.1	3088	2989	1.53633	0.464009
NM_001305330.1	1983	1884	18	8.62502
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	261.139	92.5212
NM_001305333.1	1727	1628	1198	664.31
NM_001305334.1	1170	1071	1	0.842906
NM_001305335.1	1420	1321	101	69.0219
NM_001305336.1	1301	1202	21	15.7719
NM_001305337.1	3182	3083	174	50.95
NM_001305338.1	561	462	591	1154.82
NM_001305339.1	1063	964	23	21.5387
NM_001305340.1	1914	1815	257	127.828
NM_001305341.1	3018	2919	14.9506	4.62372
NM_001305342.1	1568	1469	11	6.75989
NM_001305343.1	381	282	1041	3332.5
NM_001305344.1	1713	1614	5	2.79663
NM_001305345.1	478	379	9.56337	22.7793
NM_001305346.1	794	695	163.527	212.409
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	1	0.181458
NM_001305349.1	2016	1917	5.54587	2.61166
NM_001305350.1	1904	1805	3.64617	1.82359
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	2185	2545.18
NM_001305353.1	1804	1705	1	0.529473
NM_001305354.1	2065	1966	26.1759	12.0195
NM_001305355.1	2154	2055	992.961	436.203
NM_001305356.1	5728	5629	91.7099	14.708
NM_001305358.1	1594	1495	50	30.1924
NM_001305359.1	1918	1819	7.79013	3.86617
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	6	6.09968
NM_001305362.1	2744	2645	859	293.181
NM_001305363.1	1608	1509	1063	635.935
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	44	27.4506
NM_001305367.1	523	424	534.722	1138.49
NM_001305368.2	1716	1617	8.84085	4.93574
NM_001305369.2	583	484	2629	4903.58
NM_001305370.1	1788	1689	39.0007	20.8454
NM_001305371.1	1531	1432	2.07853	1.31033
NM_001305372.1	792	693	638	831.105
NM_001305373.1	1593	1494	182.179	110.082
NM_001305375.1	527	428	32	67.4955
NM_001305376.1	674	575	402.461	631.865
NM_001305377.1	3063	2964	32.7072	9.96171
NM_001305378.1	3255	3156	22.8859	6.54636
NM_001305379.1	5926	5827	25.8355	4.00259
NM_001305380.1	2571	2472	9.22007	3.36708
NM_001305381.2	1961	1862	43	20.8477
NM_001308835.1	2208	2109	11	4.70852
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	148	101.218
NM_001308844.1	1404	1305	0	0
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	2	2.51113
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	1.00929	0.643462
NM_001308857.1	1022	923	20	19.5613
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	32	46.4438
NM_001308865.1	1958	1859	0	0
NM_001308866.2	1811	1712	1	0.527308
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	56	23.3398
NM_001308876.1	1452	1353	187	124.771
NM_001308878.1	2290	2191	46.6315	19.2135
NM_001308879.1	2688	2589	88	30.6845
NM_001308882.2	1264	1165	84	65.0911
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	247.92	71.3909
NM_001308888.2	637	538	632.231	1060.87
NM_001308889.1	1663	1564	355	204.909
NM_001308892.1	549	450	3	6.01835
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	0	0
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	36	22.6317
NM_001308906.2	2136	2037	1.23159	0.545812
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	33	17.1507
NM_001308913.1	2259	2160	2.38329	0.996072
NM_001308915.1	1541	1442	15	9.39062
NM_001308918.1	965	866	6.94822	7.2431
NM_001308924.1	3079	2980	5	1.51468
NM_001319969.1	1722	1623	43	23.9176
NM_001319970.1	1068	969	86	80.1204
NM_001367274.1	1042	943	7.22179e-05	6.91356e-05
NM_001367275.1	1033	934	4.8959	4.7321
NM_001367293.1	2261	2162	101.403	42.3411
NM_001367294.1	2136	2037	421.999	187.02
NM_001367295.1	2230	2131	0	0
NM_001367296.1	2105	2006	39.9417	17.9748
XM_011413559.3	1856	1757	3.63768	1.86905
XM_011413566.3	3391	3292	0	0
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.0725775	0.0123785
XM_011413590.3	5222	5123	45.8849	8.08563
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	0	0
XM_011413602.3	3013	2914	17	5.26657
XM_011413623.3	1877	1778	29	14.7243
XM_011413624.3	2409	2310	13	5.08042
XM_011413626.3	5017	4918	3	0.550682
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	1.26408	0.727774
XM_011413636.3	1087	988	29	26.4978
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0.999997	0.503205
XM_011413649.3	806	707	1228	1568
XM_011413651.3	3224	3125	4	1.15552
XM_011413652.3	3776	3677	200.489	49.2227
XM_011413653.3	3811	3712	0.00338422	0.000823037
XM_011413654.3	3795	3696	0.50772	0.124011
XM_011413655.3	2831	2732	2.0621	0.681393
XM_011413656.3	5026	4927	0	0
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0	0
XM_011413659.3	4990	4891	0	0
XM_011413660.3	4856	4757	10	1.89773
XM_011413662.3	1889	1790	5	2.52165
XM_011413664.3	2379	2280	3.28108	1.29912
XM_011413665.3	2523	2424	52	19.366
XM_011413666.3	2845	2746	17.4132	5.72461
XM_011413667.3	2122	2023	30	13.3873
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	0	0
XM_011413671.3	2089	1990	0	0
