target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	2.49187	1.09469
NM_001305290.1	963	864	143	151.162
NM_001305291.1	722	623	1	1.46599
NM_001305292.1	2315	2216	19	7.83076
NM_001305293.1	2561	2462	242	89.7734
NM_001305294.1	435	336	1	2.7182
NM_001305295.1	3641	3542	116	29.9109
NM_001305296.1	1113	1014	318	286.424
NM_001305297.1	2361	2262	90	36.3388
NM_001305298.1	681	582	3.80313	5.96814
NM_001305299.1	1313	1214	3.42977	2.58028
NM_001305300.1	2361	2262	6	2.42258
NM_001305301.1	5652	5553	87.3551	14.3675
NM_001305302.1	1626	1527	2	1.19622
NM_001305303.1	1254	1155	6	4.74449
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	52.3323	14.323
NM_001305306.1	1631	1532	0	0
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	1	0.57586
NM_001305310.1	833	734	90	111.987
NM_001305311.1	1912	1813	5	2.51879
NM_001305312.1	3517	3418	26.0365	6.95715
NM_001305313.2	1779	1680	727.575	395.539
NM_001305314.1	524	425	807	1734.22
NM_001305315.1	1100	1001	75.4759	68.8643
NM_001305316.1	3845	3746	4	0.975242
NM_001305317.1	1655	1556	15	8.80445
NM_001305318.1	772	673	1306	1772.35
NM_001305319.1	2422	2323	42	16.5128
NM_001305320.1	1257	1158	20	15.774
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	11.6735	5.74438
NM_001305323.1	1697	1598	1	0.571536
NM_001305324.1	4857	4758	3.31259	0.635864
NM_001305325.1	1260	1161	486.959	383.072
NM_001305326.1	2144	2045	2	0.893217
NM_001305327.1	1474	1375	1	0.664229
NM_001305328.1	1420	1321	130	89.8795
NM_001305329.1	3088	2989	3.50794	1.07188
NM_001305330.1	1983	1884	17	8.24116
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	111.553	39.9854
NM_001305333.1	1727	1628	244	136.885
NM_001305334.1	1170	1071	5	4.26384
NM_001305335.1	1420	1321	201	138.968
NM_001305336.1	1301	1202	31	23.5547
NM_001305337.1	3182	3083	142	42.0664
NM_001305338.1	561	462	347	685.974
NM_001305339.1	1063	964	7	6.63195
NM_001305340.1	1914	1815	162	81.519
NM_001305341.1	3018	2919	6.12201	1.91549
NM_001305342.1	1568	1469	18	11.1911
NM_001305343.1	381	282	895	2898.64
NM_001305344.1	1713	1614	6	3.39522
NM_001305345.1	478	379	0	0
NM_001305346.1	794	695	94.6096	124.329
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	2.06013	0.3782
NM_001305349.1	2016	1917	4.4675	2.12845
NM_001305350.1	1904	1805	3.24132	1.64008
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	1463	1724.1
NM_001305353.1	1804	1705	1	0.535668
NM_001305354.1	2065	1966	89.6389	41.6422
NM_001305355.1	2154	2055	309.656	137.622
NM_001305356.1	5728	5629	99.1955	16.0946
NM_001305358.1	1594	1495	17	10.3855
NM_001305359.1	1918	1819	2.38605	1.19803
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	5	5.14254
NM_001305362.1	2744	2645	175	60.4272
NM_001305363.1	1608	1509	703	425.487
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	23	14.5171
NM_001305367.1	523	424	318.95	687.032
NM_001305368.2	1716	1617	6.33514	3.57822
NM_001305369.2	583	484	1367	2579.55
NM_001305370.1	1788	1689	16.128	8.72109
NM_001305371.1	1531	1432	3.32301	2.11938
NM_001305372.1	792	693	185	243.814
